iter	Logloss
0	0.5466852153
1	0.4307639577
2	0.3572510792
3	0.3043303057
4	0.2707955343
5	0.2377938408
6	0.2161381628
7	0.1921216659
8	0.1760792733
9	0.1640232855
10	0.1543384905
11	0.1468827159
12	0.1379561246
13	0.1311088876
14	0.1258336686
15	0.1195503467
16	0.114527067
17	0.1102272086
18	0.1062570134
19	0.1013261696
20	0.09848391759
21	0.09617718151
22	0.0934907695
23	0.09134483406
24	0.087023491
25	0.08450798668
26	0.08183899925
27	0.07969837117
28	0.07741982479
29	0.07454932039
30	0.07320112913
31	0.07183018828
32	0.07029778858
33	0.06892098444
34	0.06740280057
35	0.06535976435
36	0.06391777222
37	0.06247576624
38	0.06081042993
39	0.05872043092
40	0.05747546742
41	0.05615951784
42	0.05527843291
43	0.05398785248
44	0.05258289299
45	0.05169650134
46	0.05061622524
47	0.04976641795
48	0.04865932272
49	0.04739133067
50	0.04607579221
51	0.04455069727
52	0.04368867127
53	0.04311445491
54	0.04208041756
55	0.04071867962
56	0.0397821067
57	0.03880513638
58	0.03814206415
59	0.03720518808
60	0.03643836515
61	0.03575356247
62	0.03464743549
63	0.03406635142
64	0.03316723107
65	0.03258204577
66	0.03190402983
67	0.03129917322
68	0.03025719875
69	0.0295556363
70	0.02908283457
71	0.02829649482
72	0.02794728391
73	0.02704624542
74	0.02613006055
75	0.02565515741
76	0.02514652969
77	0.02450941871
78	0.02405736195
79	0.02361266632
80	0.02316729068
81	0.02286214354
82	0.02238097444
83	0.02195896943
84	0.02152710599
85	0.02117757764
86	0.02074213169
87	0.02047288779
88	0.02014973879
89	0.01986691342
90	0.01926529189
91	0.01895160681
92	0.01860893613
93	0.01825521841
94	0.01783104578
95	0.01753128697
96	0.01737923272
97	0.01710881578
98	0.01685917512
99	0.01666577771
100	0.01640860496
101	0.01608229746
102	0.01579556162
103	0.01541738915
104	0.01526264374
105	0.01507311
106	0.01486715045
107	0.01470439324
108	0.01455502623
109	0.01441124568
110	0.01410776554
111	0.0138876895
112	0.01364390816
113	0.01345610682
114	0.01322363395
115	0.01306259377
116	0.01288194892
117	0.01258742304
118	0.01229781807
119	0.01214163008
120	0.01200167417
121	0.01162850362
122	0.01145791855
123	0.01127454369
124	0.01115024483
125	0.01103865471
126	0.0108823791
127	0.01076782453
128	0.01064917324
129	0.01045748094
130	0.01031897338
131	0.01011966341
132	0.009974936209
133	0.009904325501
134	0.009715678537
135	0.009542125557
136	0.009406105186
137	0.00926963344
138	0.009179842355
139	0.008985168377
140	0.008844771506
141	0.008762602097
142	0.008636211064
143	0.008517774202
144	0.008431216918
145	0.008235738545
146	0.008144693763
147	0.007986141248
148	0.007913911982
149	0.007764524551
150	0.007691524732
151	0.007598719174
152	0.007538935237
153	0.007413932143
154	0.007323017173
155	0.007279368179
156	0.007229734252
157	0.007107707823
158	0.007054308979
159	0.00693384285
160	0.006858586596
161	0.006803939811
162	0.006658310057
163	0.00652840228
164	0.006431848789
165	0.006361190887
166	0.006298587159
167	0.006232437558
168	0.006163449068
169	0.006112993297
170	0.006079054154
171	0.006059527826
172	0.006043887337
173	0.005930671931
174	0.005857649341
175	0.00581105678
176	0.005729513413
177	0.005661301011
178	0.005617112192
179	0.005550037139
180	0.005442478361
181	0.005384782846
182	0.005359446983
183	0.005344252322
184	0.005312898306
185	0.005268895946
186	0.005237321532
187	0.005173757543
188	0.005107913522
189	0.005055846212
190	0.005037024819
191	0.00500189959
192	0.004917510928
193	0.004881781802
194	0.004828618381
195	0.004790513688
196	0.004759495427
197	0.004669084115
198	0.004637950554
199	0.004605907007
