iter	Passed	Remaining
0	30	6083
1	62	6181
2	90	5920
3	114	5612
4	139	5433
5	164	5304
6	190	5243
7	217	5222
8	245	5210
9	274	5208
10	302	5189
11	326	5120
12	351	5053
13	375	4988
14	399	4931
15	426	4908
16	449	4840
17	475	4802
18	505	4812
19	530	4778
20	554	4730
21	581	4701
22	605	4658
23	629	4615
24	652	4564
25	677	4532
26	716	4588
27	742	4558
28	765	4511
29	788	4468
30	815	4444
31	840	4413
32	863	4368
33	887	4334
34	912	4300
35	940	4282
36	965	4254
37	991	4226
38	1019	4208
39	1049	4197
40	1076	4175
41	1102	4146
42	1130	4127
43	1153	4090
44	1177	4054
45	1205	4035
46	1231	4009
47	1257	3981
48	1282	3951
49	1308	3926
50	1337	3908
51	1365	3885
52	1394	3868
53	1423	3849
54	1449	3820
55	1474	3790
56	1504	3774
57	1530	3748
58	1564	3737
59	1591	3713
60	1616	3683
61	1643	3659
62	1668	3627
63	1692	3596
64	1717	3567
65	1747	3547
66	1774	3521
67	1802	3498
68	1827	3469
69	1851	3437
70	1876	3409
71	1899	3377
72	1928	3354
73	1950	3321
74	1972	3286
75	1996	3257
76	2020	3227
77	2043	3195
78	2067	3167
79	2092	3138
80	2115	3107
81	2143	3083
82	2167	3055
83	2194	3030
84	2218	3001
85	2243	2974
86	2266	2944
87	2292	2917
88	2317	2890
89	2345	2866
90	2368	2836
91	2397	2814
92	2420	2784
93	2444	2756
94	2467	2727
95	2491	2699
96	2517	2673
97	2540	2644
98	2567	2618
99	2591	2591
100	2615	2564
101	2640	2536
102	2663	2508
103	2688	2481
104	2716	2458
105	2743	2432
106	2768	2405
107	2792	2378
108	2820	2354
109	2846	2329
110	2872	2302
111	2897	2276
112	2943	2265
113	2992	2257
114	3024	2235
115	3061	2216
116	3088	2190
117	3114	2163
118	3136	2135
119	3162	2108
120	3190	2082
121	3220	2058
122	3244	2031
123	3267	2002
124	3292	1975
125	3320	1950
126	3347	1923
127	3372	1896
128	3397	1870
129	3421	1842
130	3445	1814
131	3469	1787
132	3493	1759
133	3518	1732
134	3543	1706
135	3571	1680
136	3602	1656
137	3629	1630
138	3657	1604
139	3682	1578
140	3708	1551
141	3738	1526
142	3766	1501
143	3796	1476
144	3827	1451
145	3855	1425
146	3881	1399
147	3906	1372
148	3930	1345
149	3957	1319
150	3982	1292
151	4013	1267
152	4045	1242
153	4073	1216
154	4100	1190
155	4128	1164
156	4157	1138
157	4183	1112
158	4213	1086
159	4239	1059
160	4269	1034
161	4295	1007
162	4322	981
163	4349	954
164	4375	928
165	4404	902
166	4431	875
167	4458	849
168	4482	822
169	4509	795
170	4535	769
171	4564	743
172	4593	716
173	4617	689
174	4643	663
175	4669	636
176	4696	610
177	4724	583
178	4758	558
179	4789	532
180	4829	507
181	4864	481
182	4890	454
183	4916	427
184	4941	400
185	4969	374
186	4998	347
187	5025	320
188	5053	294
189	5077	267
190	5102	240
191	5129	213
192	5153	186
193	5178	160
194	5201	133
195	5225	106
196	5249	79
197	5275	53
198	5301	26
199	5328	0
